key	audio	audio_relative	source_recording	source_wav	source_txt	start	end	duration	speaker	gender	text	text_nopunc	split
A0002_S0003_0_G0003_G0004__000011__G0004__000048303_000053860__ebfcb8ce	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000011__G0004__000048303_000053860__ebfcb8ce.wav	wav/A0002_S0003_0_G0003_G0004__000011__G0004__000048303_000053860__ebfcb8ce.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	48.303	53.86	5.557	G0004	female	是两级风险，三级风险，四级风险吾侪做呃，信托咯撒侪做呃	是两级风险三级风险四级风险吾侪做呃信托咯撒侪做呃	train
A0002_S0003_0_G0003_G0004__000012__G0004__000053972_000056706__ed7599ae	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000012__G0004__000053972_000056706__ed7599ae.wav	wav/A0002_S0003_0_G0003_G0004__000012__G0004__000053972_000056706__ed7599ae.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	53.972	56.706	2.734	G0004	female	信托有两年头呃八点几	信托有两年头呃八点几	train
A0002_S0003_0_G0003_G0004__000013__G0004__000057118_000058600__8f89dc71	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000013__G0004__000057118_000058600__8f89dc71.wav	wav/A0002_S0003_0_G0003_G0004__000013__G0004__000057118_000058600__8f89dc71.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	57.118	58.6	1.482	G0004	female	吾也做呃，尝试呃	吾也做呃尝试呃	train
A0002_S0003_0_G0003_G0004__000014__G0003__000060140_000062500__e0f8459e	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000014__G0003__000060140_000062500__e0f8459e.wav	wav/A0002_S0003_0_G0003_G0004__000014__G0003__000060140_000062500__e0f8459e.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	60.14	62.5	2.36	G0003	male	但是呢，侬讲呃种信托啊	但是呢侬讲呃种信托啊	train
A0002_S0003_0_G0003_G0004__000015__G0003__000063080_000064150__098e57cc	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000015__G0003__000063080_000064150__098e57cc.wav	wav/A0002_S0003_0_G0003_G0004__000015__G0003__000063080_000064150__098e57cc.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	63.08	64.15	1.07	G0003	male	呃	呃	train
A0002_S0003_0_G0003_G0004__000016__G0003__000064489_000067600__9514df63	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000016__G0003__000064489_000067600__9514df63.wav	wav/A0002_S0003_0_G0003_G0004__000016__G0003__000064489_000067600__9514df63.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	64.489	67.6	3.111	G0003	male	过去做呃信托呢，是保本保息呃	过去做呃信托呢是保本保息呃	train
A0002_S0003_0_G0003_G0004__000017__G0003__000068090_000069730__69ecac61	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000017__G0003__000068090_000069730__69ecac61.wav	wav/A0002_S0003_0_G0003_G0004__000017__G0003__000068090_000069730__69ecac61.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	68.09	69.73	1.64	G0003	male	国家辣辣银行里兜呃	国家辣辣银行里兜呃	train
A0002_S0003_0_G0003_G0004__000018__G0003__000070340_000072190__6425ba24	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000018__G0003__000070340_000072190__6425ba24.wav	wav/A0002_S0003_0_G0003_G0004__000018__G0003__000070340_000072190__6425ba24.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	70.34	72.19	1.85	G0003	male	现在呃信托啦，假呃啦	现在呃信托啦假呃啦	train
A0002_S0003_0_G0003_G0004__000019__G0003__000072500_000079510__183e1410	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000019__G0003__000072500_000079510__183e1410.wav	wav/A0002_S0003_0_G0003_G0004__000019__G0003__000072500_000079510__183e1410.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	72.5	79.51	7.01	G0003	male	讲呃撒呃信托，撒呃保本保息，现在危险了，撒道理呢，信托亏比侬现在金融喃	讲呃撒呃信托撒呃保本保息现在危险了撒道理呢信托亏比侬现在金融喃	train
A0002_S0003_0_G0003_G0004__000020__G0003__000079670_000081850__7cf320e6	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000020__G0003__000079670_000081850__7cf320e6.wav	wav/A0002_S0003_0_G0003_G0004__000020__G0003__000079670_000081850__7cf320e6.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	79.67	81.85	2.18	G0003	male	侪拨国家拦特了，撒叫拦特了	侪拨国家拦特了撒叫拦特了	train
A0002_S0003_0_G0003_G0004__000021__G0003__000082190_000086560__f1241469	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000021__G0003__000082190_000086560__f1241469.wav	wav/A0002_S0003_0_G0003_G0004__000021__G0003__000082190_000086560__f1241469.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	82.19	86.56	4.37	G0003	male	本来动，比方侬是信托，本来是银行是保，担保呃	本来动比方侬是信托本来是银行是保担保呃	train
A0002_S0003_0_G0003_G0004__000022__G0003__000086930_000088180__1107e7b4	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000022__G0003__000086930_000088180__1107e7b4.wav	wav/A0002_S0003_0_G0003_G0004__000022__G0003__000086930_000088180__1107e7b4.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	86.93	88.18	1.25	G0003	male	现在银行伐担保了	现在银行伐担保了	train
A0002_S0003_0_G0003_G0004__000023__G0003__000089605_000093070__0fc8f474	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000023__G0003__000089605_000093070__0fc8f474.wav	wav/A0002_S0003_0_G0003_G0004__000023__G0003__000089605_000093070__0fc8f474.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	89.605	93.07	3.465	G0003	male	国，国家有个先，有个文件就讲	国国家有个先有个文件就讲	train
A0002_S0003_0_G0003_G0004__000024__G0003__000093920_000097900__acbe0fdb	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000024__G0003__000093920_000097900__acbe0fdb.wav	wav/A0002_S0003_0_G0003_G0004__000024__G0003__000093920_000097900__acbe0fdb.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	93.92	97.9	3.98	G0003	male	银行里如果破产超过五十万以上呃	银行里如果破产超过五十万以上呃	train
A0002_S0003_0_G0003_G0004__000025__G0003__000098630_000099940__91e24499	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000025__G0003__000098630_000099940__91e24499.wav	wav/A0002_S0003_0_G0003_G0004__000025__G0003__000098630_000099940__91e24499.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	98.63	99.94	1.31	G0003	male	国家伐付钞票呃	国家伐付钞票呃	train
A0002_S0003_0_G0003_G0004__000026__G0003__000100280_000105340__7216e82c	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000026__G0003__000100280_000105340__7216e82c.wav	wav/A0002_S0003_0_G0003_G0004__000026__G0003__000100280_000105340__7216e82c.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	100.28	105.34	5.06	G0003	male	超过五十万以内呃，国家负担搿钞票，搿是正式文件谈下来呃	超过五十万以内呃国家负担搿钞票搿是正式文件谈下来呃	train
A0002_S0003_0_G0003_G0004__000027__G0003__000105620_000111190__bb0973be	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000027__G0003__000105620_000111190__bb0973be.wav	wav/A0002_S0003_0_G0003_G0004__000027__G0003__000105620_000111190__bb0973be.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	105.62	111.19	5.57	G0003	male	葛末，阿拉辣辣搿问题高头呢，阿拉辣搿问题高头呢，就是讲哪能来认识呢	葛末阿拉辣辣搿问题高头呢阿拉辣搿问题高头呢就是讲哪能来认识呢	train
A0002_S0003_0_G0003_G0004__000028__G0000__000111488_000112574__d0d1835c	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000028__G0000__000111488_000112574__d0d1835c.wav	wav/A0002_S0003_0_G0003_G0004__000028__G0000__000111488_000112574__d0d1835c.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	111.488	112.574	1.086	G0000	none	[ENS]	ENS	train
A0002_S0003_0_G0003_G0004__000029__G0004__000112942_000120892__12bcd49e	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000029__G0004__000112942_000120892__12bcd49e.wav	wav/A0002_S0003_0_G0003_G0004__000029__G0004__000112942_000120892__12bcd49e.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	112.942	120.892	7.95	G0004	female	现在对伐，老早金融行业呢，本身就是伐保本呃，也伐保本呃所谓五十万赔偿呃损失，是侬做是撒	现在对伐老早金融行业呢本身就是伐保本呃也伐保本呃所谓五十万赔偿呃损失是侬做是撒	train
A0002_S0003_0_G0003_G0004__000030__G0004__000121224_000122290__82b354b1	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000030__G0004__000121224_000122290__82b354b1.wav	wav/A0002_S0003_0_G0003_G0004__000030__G0004__000121224_000122290__82b354b1.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	121.224	122.29	1.066	G0004	female	叫撒是	叫撒是	train
A0002_S0003_0_G0003_G0004__000031__G0004__000122570_000126040__c36b66d8	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000031__G0004__000122570_000126040__c36b66d8.wav	wav/A0002_S0003_0_G0003_G0004__000031__G0004__000122570_000126040__c36b66d8.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	122.57	126.04	3.47	G0004	female	呃，呃银行理财，银行呃产品	呃呃银行理财银行呃产品	train
A0002_S0003_0_G0003_G0004__000032__G0004__000126320_000128949__e24a0bf6	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000032__G0004__000126320_000128949__e24a0bf6.wav	wav/A0002_S0003_0_G0003_G0004__000032__G0004__000126320_000128949__e24a0bf6.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	126.32	128.949	2.629	G0004	female	是，就是坏特了，伊拨侬五十万	是就是坏特了伊拨侬五十万	train
A0002_S0003_0_G0003_G0004__000033__G0004__000129979_000133937__9a33f9cd	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000033__G0004__000129979_000133937__9a33f9cd.wav	wav/A0002_S0003_0_G0003_G0004__000033__G0004__000129979_000133937__9a33f9cd.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	129.979	133.937	3.958	G0004	female	呃叫撒赔拨侬呃，但是做金融呃行业，本身也就伐赔侬呃	呃叫撒赔拨侬呃但是做金融呃行业本身也就伐赔侬呃	train
A0002_S0003_0_G0003_G0004__000034__G0004__000134210_000140350__30302ce6	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000034__G0004__000134210_000140350__30302ce6.wav	wav/A0002_S0003_0_G0003_G0004__000034__G0004__000134210_000140350__30302ce6.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	134.21	140.35	6.14	G0004	female	现在呢就是有得一只，老早是伐赔喏，老早讲起来呢，坏呢，就是讲风险呢，但是呢	现在呢就是有得一只老早是伐赔喏老早讲起来呢坏呢就是讲风险呢但是呢	train
A0002_S0003_0_G0003_G0004__000035__G0004__000140450_000144190__f4ebc958	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000035__G0004__000140450_000144190__f4ebc958.wav	wav/A0002_S0003_0_G0003_G0004__000035__G0004__000140450_000144190__f4ebc958.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	140.45	144.19	3.74	G0004	female	还可以呃，为撒道理，基本上没呢没撒坏呃	还可以呃为撒道理基本上没呢没撒坏呃	train
A0002_S0003_0_G0003_G0004__000036__G0004__000144320_000150580__21484eb4	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000036__G0004__000144320_000150580__21484eb4.wav	wav/A0002_S0003_0_G0003_G0004__000036__G0004__000144320_000150580__21484eb4.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	144.32	150.58	6.26	G0004	female	但是现在呢，是刚性兑付了，新呃文件出来是刚性兑付，所以讲万一搿只物事没做好呃闲话	但是现在呢是刚性兑付了新呃文件出来是刚性兑付所以讲万一搿只物事没做好呃闲话	train
