source_txt	line_no	reason	raw_line
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	234	duration_below_0.3	"[387.854,388.098]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	246	duration_below_0.3	"[400.613,400.903]	G0218	female	嗯"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	248	duration_below_0.3	"[402.096,402.339]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	259	non_speech_or_empty_text	"[424.039,425.367]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	265	non_speech_or_empty_text	"[431.066,431.774]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	335	non_speech_or_empty_text	"[544.928,545.248]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	337	duration_below_0.3	"[546.498,546.771]	G0218	female	对呃"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	347	non_speech_or_empty_text	"[561.506,562.960]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	362	non_speech_or_empty_text	"[583.976,584.519]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	496	non_speech_or_empty_text	"[771.993,774.862]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	499	non_speech_or_empty_text	"[777.701,778.200]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	542	duration_below_0.3	"[842.150,842.441]	G0218	female	哦"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	564	non_speech_or_empty_text	"[864.985,865.431]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	624	non_speech_or_empty_text	"[947.654,948.251]	G0217	male	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	641	non_speech_or_empty_text	"[968.000,969.010]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	717	duration_below_0.3	"[1091.968,1092.209]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	796	duration_below_0.3	"[1239.960,1240.222]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	893	non_speech_or_empty_text	"[1395.118,1396.049]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	901	non_speech_or_empty_text	"[1407.248,1408.845]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	920	non_speech_or_empty_text	"[1436.198,1436.886]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	963	non_speech_or_empty_text	"[1501.110,1502.254]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	971	duration_below_0.3	"[1514.211,1514.367]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	976	non_speech_or_empty_text	"[1523.586,1523.915]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A1137_S0007_0_G1273_G1274.txt	25	non_speech_or_empty_text	"[89.960,91.060]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A1137_S0007_0_G1273_G1274.txt	85	non_speech_or_empty_text	"[316.040,316.720]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A1137_S0007_0_G1273_G1274.txt	119	non_speech_or_empty_text	"[437.689,438.048]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A1137_S0007_0_G1273_G1274.txt	319	non_speech_or_empty_text	"[1192.790,1193.530]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A1137_S0007_0_G1273_G1274.txt	332	non_speech_or_empty_text	"[1236.974,1237.556]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A1175_S0007_0_G1349_G1350.txt	17	non_speech_or_empty_text	"[76.917,77.339]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A1175_S0007_0_G1349_G1350.txt	22	non_speech_or_empty_text	"[92.667,93.980]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A1189_S0004_0_G1377_G1378.txt	13	non_speech_or_empty_text	"[51.106,51.824]	G0000	none	[*]"
